name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
paris,2007-02-01T00:00:00,6.8,5.1,2,71.38,0,0,,,,14.8,8.5,237,1026.8,91.4,25.4,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T01:00:00,6.7,5,2,72.01,0,0,,,,18.1,8.6,257,1026.8,92.8,20.7,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T02:00:00,7.1,5.8,2.4,72.12,0,0,,,,18.4,7.4,256,1027.1,96.1,33.3,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07150099999"
paris,2007-02-01T03:00:00,6.6,5.1,3.8,82.31,0,0,,,,11.2,7.6,250,1027.1,96.1,20,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07150099999"
paris,2007-02-01T04:00:00,6.3,6.3,4.5,88.63,0,0,,,,17.4,4.4,257,1027.1,96.1,4.3,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07150099999"
paris,2007-02-01T05:00:00,6.3,6.3,4.8,90.61,0,0,,,,7.6,4.2,265,1027.9,92,3.7,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07150099999"
paris,2007-02-01T06:00:00,6.5,6.5,5.3,92.31,0,0,,,,11.2,4.4,259,1028.1,99.2,4,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07150099999"
paris,2007-02-01T07:00:00,6.7,6.7,5.6,92.81,0,0,,,,11.3,4.5,264,1028.1,99.3,5.6,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T08:00:00,7.4,7.4,6.1,91.39,0,0,,,,11.2,4.8,310,1028.7,97.3,4.5,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T09:00:00,7.8,7.8,6.3,90.58,0,0,,,,14.1,4.6,296,1029.1,99.3,4.5,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T10:00:00,8.1,6.8,6.6,90.5,0,0,,,,14.1,7.9,301,1029.1,98.6,4.4,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T11:00:00,8.8,8.8,7.4,90.43,0,0,,,,16,4.6,286,1029.1,98.6,4.6,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T12:00:00,9.7,8.2,7.5,86.1,0,0,,,,18.4,10.2,317,1029.4,91.2,4.8,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T13:00:00,10.2,10.2,7.8,84.72,0,0,,,,14.8,7.7,347,1029.7,98.5,6.1,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T14:00:00,10.6,10.6,7.8,82.78,0,0,,,,20.5,4.3,358,1029.1,97.8,6.1,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T15:00:00,11.2,11.2,7.7,79.39,0,0,,,,14.8,4.3,325,1029.4,99.2,6.2,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T16:00:00,11.2,11.2,8,80.43,0,0,,,,11.4,4.1,332,1029.8,99.2,6.2,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T17:00:00,11.2,11.2,8,80.45,0,0,,,,12.1,7,330,1029.4,99.2,6.1,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T18:00:00,10.9,10.9,8,81.86,0,0,,,,11.2,3.9,335,1030.1,96.9,7.2,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-02-01T19:00:00,11,11,8.2,82.49,0,0,,,,10.5,4.3,335,1030.1,96.9,7.2,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
