name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
paris,2007-08-01,27,12.9,20.1,26.6,12.9,20,8.3,47.8,0,0,0,,,,35,13,86.9,1012.9,41.3,23.5,,,,,2007-08-01T06:23:13,2007-08-01T21:29:52,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-08-02,22.5,15.5,19.1,22.5,15.5,19.1,12.1,65.4,1.393,100,20.83,rain,,,46.4,15.7,290.7,1012.2,65.5,18.1,,,,,2007-08-02T06:24:33,2007-08-02T21:28:23,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-08-03,24.4,14.5,18.8,24.4,14.5,18.8,11.2,63.3,0.007,100,4.17,rain,,,22.9,8,287.3,1021.8,56.6,18.3,,,,,2007-08-03T06:25:53,2007-08-03T21:26:53,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-08-04,28.2,14.5,21.8,27.7,14.5,21.7,11.8,56,0,0,0,,,,25.9,11.4,118,1022.6,3.4,23.8,,,,,2007-08-04T06:27:15,2007-08-04T21:25:22,0.69,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-08-05,32.9,17,25.1,31.7,17,24.8,13,49.9,0,0,0,,,,35.3,18.8,153.1,1012.8,2.7,28.9,,,,,2007-08-05T06:28:36,2007-08-05T21:23:48,0.75,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-08-06,23.5,16.7,19.3,23.5,16.7,19.3,14.8,76.6,6.786,100,25,rain,,,37.4,18,270.6,1010.8,68.9,20.3,,,,,2007-08-06T06:29:58,2007-08-06T21:22:13,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-08-07,22.3,12.9,17.5,22.3,12.9,17.5,10.7,66.2,0.987,100,12.5,rain,,,31.7,21.2,317.4,1015.4,40.5,22.2,,,,,2007-08-07T06:31:20,2007-08-07T21:20:37,0.8,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-08-08,17,13,14.9,17,13,14.9,12.5,86,55.26,100,70.83,rain,,,42.5,18.6,319.6,1016.3,85.2,11.8,,,,,2007-08-08T06:32:43,2007-08-08T21:18:59,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-08-09,18.3,12.4,15.4,18.3,12.4,15.4,9.5,68.3,0,0,0,,,,61.2,22,331,1018.5,75.3,20.8,,,,,2007-08-09T06:34:06,2007-08-09T21:17:19,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-08-10,17.9,13.7,16,17.9,13.7,16,12.8,81.8,0.12,100,16.67,rain,,,38.1,18.6,338.4,1016.8,99.4,14.2,,,,,2007-08-10T06:35:29,2007-08-10T21:15:39,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
